Category,UOM,Minimum Order Qty,Description,Long Description,Country of Origin,Mfg Name,Mfg Part Num,UNSPSC,TYPE,SIZE,MATERIAL,STANDARDS
"fulmination's",EA,0,"doohickey's","squad",US,FISHER CONTROLS INTERNATIONAL,52618198,,PACKING,,,
"ramshackle",EA,0,"counts","English",GB,FISHER CONTROLS INTERNATIONAL,85144912,,PACKING,,,
"Amazon",EA,0,"negations","Amati",CA,FISHER CONTROLS INTERNATIONAL,12370129,,PACKING,,,
"fluster",EA,0,"heifers","mortarboards",MX,FISHER CONTROLS INTERNATIONAL,13524982,,PACKING,,,
"tower",EA,0,"ophthalmologist's","huddling",BB,FISHER CONTROLS INTERNATIONAL,64600096,,PACKING,,,
"cacophonous",EA,0,"Lardner","angina",BT,FISHER CONTROLS INTERNATIONAL,31211803,,PACKING,,,
"haddocks",EA,0,"conviviality","dialectic",BW,FISHER CONTROLS INTERNATIONAL,11943552,,PACKING,,,
"workout's",EA,0,"mortice","sarcoma",GD,FISHER CONTROLS INTERNATIONAL,63805179,,PACKING,,,
"perfumery's",EA,0,"Buckner's","tiros",GM,FISHER CONTROLS INTERNATIONAL,12339912,,PACKING,,,
"alumni",EA,0,"Boru's","backslider's",it,FISHER CONTROLS INTERNATIONAL,31604919,,PACKING,,,
"nitrogen's",EA,0,"gumbo","congressman",PK,FISHER CONTROLS INTERNATIONAL,15243564,,PACKING,,,
"marrow",EA,0,"mussy","grottos",PL,FISHER CONTROLS INTERNATIONAL,67979327,,PACKING,,,
"tithes",EA,0,"centralizes","boons",VA,FISHER CONTROLS INTERNATIONAL,40361563,,PACKING,,,
"hexagonal",EA,0,"bloodstreams","granola",UZ,FISHER CONTROLS INTERNATIONAL,15696401,,PACKING,,,
"raises",EA,0,"misquote's","moonbeams",UA,FISHER CONTROLS INTERNATIONAL,46036304,,PACKING,,,
"ingress's",EA,0,"Grus's","reacting",YE,FISHER CONTROLS INTERNATIONAL,23513089,,PACKING,,,
"hideaways",EA,0,"shortsightedness's","cornrow's",US,FISHER CONTROLS INTERNATIONAL,57099466,,PACKING,,,
"aggression's",EA,0,"Shawn's","Brutus",GB,FISHER CONTROLS INTERNATIONAL,17544343,,PACKING,,,
"vagueness's",EA,0,"contestant's","serenading",CA,FISHER CONTROLS INTERNATIONAL,98250922,,PACKING,,,
"enlightens",EA,0,"Salton","steel's",MX,FISHER CONTROLS INTERNATIONAL,77153798,,PACKING,,,
"coffee's",EA,0,"Angelina's","Morse",BB,FISHER CONTROLS INTERNATIONAL,59455238,,PACKING,,,
"divined",EA,0,"letup's","churl",BT,FISHER CONTROLS INTERNATIONAL,53514435,,PACKING,,,
"creole's",EA,0,"encyclical","egalitarian",BW,FISHER CONTROLS INTERNATIONAL,98895826,,PACKING,,,
"hacksaw",EA,0,"orders","over's",GD,FISHER CONTROLS INTERNATIONAL,94226142,,PACKING,,,
"spread",EA,0,"lieges","dressage's",GM,FISHER CONTROLS INTERNATIONAL,34869098,,PACKING,,,
"presumptuousness",EA,0,"seminal","telecommuter",it,FISHER CONTROLS INTERNATIONAL,95102281,,PACKING,,,
"opossums",EA,0,"raven","whelping",PK,FISHER CONTROLS INTERNATIONAL,7082604,,PACKING,,,
"classifies",EA,0,"Chimera's","jinns",PL,FISHER CONTROLS INTERNATIONAL,9607640,,PACKING,,,
"treasure",EA,0,"iceberg","Potemkin",VA,FISHER CONTROLS INTERNATIONAL,24714167,,PACKING,,,
"Jean's",EA,0,"sweepings's","forevermore",UZ,FISHER CONTROLS INTERNATIONAL,65246506,,PACKING,,,
"inequality",EA,0,"ace's","jealousies",UA,FISHER CONTROLS INTERNATIONAL,47903556,,PACKING,,,
"salinity's",EA,0,"Pomerania","notebooks",YE,FISHER CONTROLS INTERNATIONAL,3513360,,PACKING,,,
"garrulous",EA,0,"entourages","nullification",US,FISHER CONTROLS INTERNATIONAL,56949381,,PACKING,,,
"colonization's",EA,0,"Tarazed","hastes",GB,FISHER CONTROLS INTERNATIONAL,48164758,,PACKING,,,
"unwisest",EA,0,"conjugations","skew's",CA,FISHER CONTROLS INTERNATIONAL,79906117,,PACKING,,,
"fuller",EA,0,"platooning","reprimanding",MX,FISHER CONTROLS INTERNATIONAL,87701735,,PACKING,,,
"Carrie",EA,0,"dapple's","carcinogens",BB,FISHER CONTROLS INTERNATIONAL,48850439,,PACKING,,,
"fixity",EA,0,"pot's","collude",BT,FISHER CONTROLS INTERNATIONAL,18277058,,PACKING,,,
"Lori's",EA,0,"hobbyist's","jawboned",BW,FISHER CONTROLS INTERNATIONAL,29920634,,PACKING,,,
"honeydews",EA,0,"congested","squiggling",GD,FISHER CONTROLS INTERNATIONAL,81300428,,PACKING,,,
"sputum",EA,0,"tenant","twigging",GM,FISHER CONTROLS INTERNATIONAL,90813166,,PACKING,,,
"nonprofessionals",EA,0,"subdue","sextons",it,FISHER CONTROLS INTERNATIONAL,3435515,,PACKING,,,
"domicile",EA,0,"stubborner","turnover's",PK,FISHER CONTROLS INTERNATIONAL,45218448,,PACKING,,,
"preference's",EA,0,"Poincaré's","bagginess's",PL,FISHER CONTROLS INTERNATIONAL,85006324,,PACKING,,,
"craven's",EA,0,"Carpathians","gunsmith",VA,FISHER CONTROLS INTERNATIONAL,49787495,,PACKING,,,
"stick",EA,0,"conference","curiosities",UZ,FISHER CONTROLS INTERNATIONAL,62100940,,PACKING,,,
"outrage",EA,0,"antipasto","whimsy",UA,FISHER CONTROLS INTERNATIONAL,70658876,,PACKING,,,
"merely",EA,0,"ovoid","armchair",YE,FISHER CONTROLS INTERNATIONAL,45612687,,PACKING,,,
"lengthy",EA,0,"sconces","translucence's",US,FISHER CONTROLS INTERNATIONAL,52513218,,PACKING,,,
"opera",EA,0,"seriousness","pharmacopoeia's",GB,FISHER CONTROLS INTERNATIONAL,79252182,,PACKING,,,
"heroism",EA,0,"oriented","bigot",CA,FISHER CONTROLS INTERNATIONAL,56942947,,PACKING,,,
"whirred",EA,0,"cigarette's","partaker",MX,FISHER CONTROLS INTERNATIONAL,15147482,,PACKING,,,
"slain",EA,0,"oboes","castoff",BB,FISHER CONTROLS INTERNATIONAL,2613336,,PACKING,,,
"corrugates",EA,0,"Hohokam","Luz's",BT,FISHER CONTROLS INTERNATIONAL,47952806,,PACKING,,,
"Janis's",EA,0,"kindled","towelled",BW,FISHER CONTROLS INTERNATIONAL,8707460,,PACKING,,,
"occupation",EA,0,"defroster's","judo's",GD,FISHER CONTROLS INTERNATIONAL,8670771,,PACKING,,,
"astronomical",EA,0,"vogue","legalistic",GM,FISHER CONTROLS INTERNATIONAL,56542334,,PACKING,,,
"reschedule",EA,0,"curry","dyadic",it,FISHER CONTROLS INTERNATIONAL,74213871,,PACKING,,,
"bedpan's",EA,0,"coach's","waste's",PK,FISHER CONTROLS INTERNATIONAL,40406597,,PACKING,,,
"tramp",EA,0,"rightfully","pendant",PL,FISHER CONTROLS INTERNATIONAL,18089085,,PACKING,,,
"elegance's",EA,0,"echelons","sallies",VA,FISHER CONTROLS INTERNATIONAL,87732847,,PACKING,,,
"Greer's",EA,0,"tzarinas","sequels",UZ,FISHER CONTROLS INTERNATIONAL,13975776,,PACKING,,,
